year,week,tweets,date,classifier
2020,17,2722,2020-04-22,Davidson-Hate speech
2020,17,211602,2020-04-22,Davidson-Neither
2020,17,1302,2020-04-22,Davidson-Offensive language
2020,18,6638,2020-04-29,Davidson-Hate speech
2020,18,176616,2020-04-29,Davidson-Neither
2020,18,881,2020-04-29,Davidson-Offensive language
2020,19,3068,2020-05-06,Davidson-Hate speech
2020,19,167916,2020-05-06,Davidson-Neither
2020,19,1785,2020-05-06,Davidson-Offensive language
2020,20,2939,2020-05-13,Davidson-Hate speech
2020,20,137124,2020-05-13,Davidson-Neither
2020,20,761,2020-05-13,Davidson-Offensive language
2020,21,4682,2020-05-20,Davidson-Hate speech
2020,21,176973,2020-05-20,Davidson-Neither
2020,21,1024,2020-05-20,Davidson-Offensive language
2020,22,2427,2020-05-27,Davidson-Hate speech
2020,22,456494,2020-05-27,Davidson-Neither
2020,22,926,2020-05-27,Davidson-Offensive language
2020,23,1286,2020-06-03,Davidson-Hate speech
2020,23,58149,2020-06-03,Davidson-Neither
2020,23,499,2020-06-03,Davidson-Offensive language
2020,24,1293,2020-06-10,Davidson-Hate speech
2020,24,49733,2020-06-10,Davidson-Neither
2020,24,789,2020-06-10,Davidson-Offensive language
2020,25,48777,2020-06-17,Davidson-Hate speech
2020,25,256219,2020-06-17,Davidson-Neither
2020,25,2695,2020-06-17,Davidson-Offensive language
2020,26,35211,2020-06-24,Davidson-Hate speech
2020,26,228223,2020-06-24,Davidson-Neither
2020,26,30619,2020-06-24,Davidson-Offensive language
2020,27,3220,2020-07-01,Davidson-Hate speech
2020,27,213073,2020-07-01,Davidson-Neither
2020,27,1355,2020-07-01,Davidson-Offensive language
2020,28,2803,2020-07-08,Davidson-Hate speech
2020,28,90354,2020-07-08,Davidson-Neither
2020,28,805,2020-07-08,Davidson-Offensive language
2020,29,10876,2020-07-15,Davidson-Hate speech
2020,29,146509,2020-07-15,Davidson-Neither
2020,29,2318,2020-07-15,Davidson-Offensive language
2020,30,3483,2020-07-22,Davidson-Hate speech
2020,30,173047,2020-07-22,Davidson-Neither
2020,30,1511,2020-07-22,Davidson-Offensive language
2020,31,7035,2020-07-29,Davidson-Hate speech
2020,31,96384,2020-07-29,Davidson-Neither
2020,31,1282,2020-07-29,Davidson-Offensive language
2020,32,2399,2020-08-05,Davidson-Hate speech
2020,32,97454,2020-08-05,Davidson-Neither
2020,32,1294,2020-08-05,Davidson-Offensive language
2020,33,2010,2020-08-12,Davidson-Hate speech
2020,33,76976,2020-08-12,Davidson-Neither
2020,33,698,2020-08-12,Davidson-Offensive language
2020,34,6271,2020-08-19,Davidson-Hate speech
2020,34,114396,2020-08-19,Davidson-Neither
2020,34,10452,2020-08-19,Davidson-Offensive language
2020,35,4706,2020-08-26,Davidson-Hate speech
2020,35,73927,2020-08-26,Davidson-Neither
2020,35,18682,2020-08-26,Davidson-Offensive language
2020,36,1208,2020-09-02,Davidson-Hate speech
2020,36,79843,2020-09-02,Davidson-Neither
2020,36,656,2020-09-02,Davidson-Offensive language
2020,37,1474,2020-09-09,Davidson-Hate speech
2020,37,81387,2020-09-09,Davidson-Neither
2020,37,645,2020-09-09,Davidson-Offensive language
2020,38,1646,2020-09-16,Davidson-Hate speech
2020,38,99116,2020-09-16,Davidson-Neither
2020,38,896,2020-09-16,Davidson-Offensive language
2020,39,1392,2020-09-23,Davidson-Hate speech
2020,39,65517,2020-09-23,Davidson-Neither
2020,39,427,2020-09-23,Davidson-Offensive language
2020,40,4333,2020-09-30,Davidson-Hate speech
2020,40,350604,2020-09-30,Davidson-Neither
2020,40,3310,2020-09-30,Davidson-Offensive language
2020,41,3172,2020-10-07,Davidson-Hate speech
2020,41,93665,2020-10-07,Davidson-Neither
2020,41,1005,2020-10-07,Davidson-Offensive language
2020,42,1163,2020-10-14,Davidson-Hate speech
2020,42,57731,2020-10-14,Davidson-Neither
2020,42,556,2020-10-14,Davidson-Offensive language
2020,43,1361,2020-10-21,Davidson-Hate speech
2020,43,52746,2020-10-21,Davidson-Neither
2020,43,480,2020-10-21,Davidson-Offensive language
2020,44,1346,2020-10-28,Davidson-Hate speech
2020,44,50347,2020-10-28,Davidson-Neither
2020,44,565,2020-10-28,Davidson-Offensive language
2020,45,1352,2020-11-04,Davidson-Hate speech
2020,45,53903,2020-11-04,Davidson-Neither
2020,45,809,2020-11-04,Davidson-Offensive language
2020,46,2342,2020-11-11,Davidson-Hate speech
2020,46,52173,2020-11-11,Davidson-Neither
2020,46,891,2020-11-11,Davidson-Offensive language
2020,47,773,2020-11-18,Davidson-Hate speech
2020,47,46502,2020-11-18,Davidson-Neither
2020,47,528,2020-11-18,Davidson-Offensive language
2020,48,618,2020-11-25,Davidson-Hate speech
2020,48,35680,2020-11-25,Davidson-Neither
2020,48,463,2020-11-25,Davidson-Offensive language
2020,49,1169,2020-12-02,Davidson-Hate speech
2020,49,68855,2020-12-02,Davidson-Neither
2020,49,770,2020-12-02,Davidson-Offensive language
2020,50,824,2020-12-09,Davidson-Hate speech
2020,50,36558,2020-12-09,Davidson-Neither
2020,50,572,2020-12-09,Davidson-Offensive language
2020,51,1047,2020-12-16,Davidson-Hate speech
2020,51,58904,2020-12-16,Davidson-Neither
2020,51,672,2020-12-16,Davidson-Offensive language
2020,52,1701,2020-12-23,Davidson-Hate speech
2020,52,76719,2020-12-23,Davidson-Neither
2020,52,894,2020-12-23,Davidson-Offensive language
2020,53,477,2020-12-30,Davidson-Hate speech
2020,53,29622,2020-12-30,Davidson-Neither
2020,53,270,2020-12-30,Davidson-Offensive language
2021,1,859,2021-01-01,Davidson-Hate speech
2021,1,54303,2021-01-01,Davidson-Neither
2021,1,575,2021-01-01,Davidson-Offensive language
2021,2,470,2021-01-08,Davidson-Hate speech
2021,2,34029,2021-01-08,Davidson-Neither
2021,2,380,2021-01-08,Davidson-Offensive language
2021,3,802,2021-01-15,Davidson-Hate speech
2021,3,72021,2021-01-15,Davidson-Neither
2021,3,743,2021-01-15,Davidson-Offensive language
2021,4,1796,2021-01-22,Davidson-Hate speech
2021,4,132949,2021-01-22,Davidson-Neither
2021,4,1165,2021-01-22,Davidson-Offensive language
2021,5,631,2021-01-29,Davidson-Hate speech
2021,5,71667,2021-01-29,Davidson-Neither
2021,5,521,2021-01-29,Davidson-Offensive language
2021,6,672,2021-02-05,Davidson-Hate speech
2021,6,57425,2021-02-05,Davidson-Neither
2021,6,455,2021-02-05,Davidson-Offensive language
2021,7,866,2021-02-12,Davidson-Hate speech
2021,7,38777,2021-02-12,Davidson-Neither
2021,7,383,2021-02-12,Davidson-Offensive language
2021,8,2445,2021-02-19,Davidson-Hate speech
2021,8,63545,2021-02-19,Davidson-Neither
2021,8,454,2021-02-19,Davidson-Offensive language
2021,9,1722,2021-02-26,Davidson-Hate speech
2021,9,56643,2021-02-26,Davidson-Neither
2021,9,416,2021-02-26,Davidson-Offensive language
2021,10,789,2021-03-05,Davidson-Hate speech
2021,10,51894,2021-03-05,Davidson-Neither
2021,10,457,2021-03-05,Davidson-Offensive language
2021,11,7735,2021-03-12,Davidson-Hate speech
2021,11,169015,2021-03-12,Davidson-Neither
2021,11,23593,2021-03-12,Davidson-Offensive language
2021,12,3579,2021-03-19,Davidson-Hate speech
2021,12,76601,2021-03-19,Davidson-Neither
2021,12,4455,2021-03-19,Davidson-Offensive language
2021,13,114,2021-03-26,Davidson-Hate speech
2021,13,5463,2021-03-26,Davidson-Neither
2021,13,68,2021-03-26,Davidson-Offensive language
2019,49,15,2019-12-05,Vidgen-none_of_the_above
2019,50,1,2019-12-10,Vidgen-entity_directed_criticism
2019,50,7,2019-12-10,Vidgen-none_of_the_above
2019,51,2,2019-12-17,Vidgen-entity_directed_hostility
2019,51,5,2019-12-17,Vidgen-none_of_the_above
2019,52,14,2019-12-26,Vidgen-none_of_the_above
2019,53,5,2019-12-31,Vidgen-none_of_the_above
2020,1,4,2020-01-01,Vidgen-entity_directed_criticism
2020,1,2,2020-01-01,Vidgen-entity_directed_hostility
2020,1,348,2020-01-01,Vidgen-none_of_the_above
2020,2,15,2020-01-08,Vidgen-entity_directed_criticism
2020,2,33,2020-01-08,Vidgen-entity_directed_hostility
2020,2,4169,2020-01-08,Vidgen-none_of_the_above
2020,3,1504,2020-01-15,Vidgen-entity_directed_criticism
2020,3,447,2020-01-15,Vidgen-entity_directed_hostility
2020,3,64422,2020-01-15,Vidgen-none_of_the_above
2020,4,20329,2020-01-22,Vidgen-entity_directed_criticism
2020,4,14971,2020-01-22,Vidgen-entity_directed_hostility
2020,4,499234,2020-01-22,Vidgen-none_of_the_above
2020,5,22802,2020-01-29,Vidgen-entity_directed_criticism
2020,5,7601,2020-01-29,Vidgen-entity_directed_hostility
2020,5,389650,2020-01-29,Vidgen-none_of_the_above
2020,6,20679,2020-02-05,Vidgen-entity_directed_criticism
2020,6,6012,2020-02-05,Vidgen-entity_directed_hostility
2020,6,166552,2020-02-05,Vidgen-none_of_the_above
2020,7,12646,2020-02-12,Vidgen-entity_directed_criticism
2020,7,8003,2020-02-12,Vidgen-entity_directed_hostility
2020,7,98979,2020-02-12,Vidgen-none_of_the_above
2020,8,6015,2020-02-19,Vidgen-entity_directed_criticism
2020,8,2970,2020-02-19,Vidgen-entity_directed_hostility
2020,8,63332,2020-02-19,Vidgen-none_of_the_above
2020,9,7243,2020-02-26,Vidgen-entity_directed_criticism
2020,9,3175,2020-02-26,Vidgen-entity_directed_hostility
2020,9,62630,2020-02-26,Vidgen-none_of_the_above
2020,10,15803,2020-03-04,Vidgen-entity_directed_criticism
2020,10,16514,2020-03-04,Vidgen-entity_directed_hostility
2020,10,117200,2020-03-04,Vidgen-none_of_the_above
2020,11,76603,2020-03-11,Vidgen-entity_directed_criticism
2020,11,94380,2020-03-11,Vidgen-entity_directed_hostility
2020,11,587335,2020-03-11,Vidgen-none_of_the_above
2020,12,189597,2020-03-18,Vidgen-entity_directed_criticism
2020,12,191119,2020-03-18,Vidgen-entity_directed_hostility
2020,12,1054960,2020-03-18,Vidgen-none_of_the_above
2020,13,116888,2020-03-25,Vidgen-entity_directed_criticism
2020,13,155834,2020-03-25,Vidgen-entity_directed_hostility
2020,13,569542,2020-03-25,Vidgen-none_of_the_above
2020,14,83021,2020-04-01,Vidgen-entity_directed_criticism
2020,14,58869,2020-04-01,Vidgen-entity_directed_hostility
2020,14,324868,2020-04-01,Vidgen-none_of_the_above
2020,15,65316,2020-04-08,Vidgen-entity_directed_criticism
2020,15,64627,2020-04-08,Vidgen-entity_directed_hostility
2020,15,284056,2020-04-08,Vidgen-none_of_the_above
2020,16,68300,2020-04-15,Vidgen-entity_directed_criticism
2020,16,67401,2020-04-15,Vidgen-entity_directed_hostility
2020,16,212513,2020-04-15,Vidgen-none_of_the_above
2020,17,25067,2020-04-22,Vidgen-entity_directed_criticism
2020,17,27818,2020-04-22,Vidgen-entity_directed_hostility
2020,17,149410,2020-04-22,Vidgen-none_of_the_above
2020,18,40245,2020-04-29,Vidgen-entity_directed_criticism
2020,18,24706,2020-04-29,Vidgen-entity_directed_hostility
2020,18,105094,2020-04-29,Vidgen-none_of_the_above
2020,19,23585,2020-05-06,Vidgen-entity_directed_criticism
2020,19,25804,2020-05-06,Vidgen-entity_directed_hostility
