Headspace UserId,Pack Category,Pack Name,Session Name,Completion Date,Completion Platform
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,End of Day,End of Day,2018-02-15 04:08:40,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,End of Day,End of Day,2018-02-16 03:38:49,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Early Mornings,Early Mornings,2018-02-16 14:22:03,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Sleeping,Sleeping,2018-02-18 07:40:03,ANDROID
HSUSER_RQZSRPKAAWOWY30R,PACK_GROUP,Relationships,Session 21,2018-02-18 16:53:56,ANDROID
HSUSER_RQZSRPKAAWOWY30R,PACK_GROUP,Relationships,Session 22,2018-02-19 14:54:34,ANDROID
HSUSER_RQZSRPKAAWOWY30R,PACK_GROUP,Relationships,Session 23,2018-02-20 14:40:49,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Sleeping,Sleeping,2018-02-22 07:20:24,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Sleeping,Sleeping,2018-02-23 08:00:50,ANDROID
HSUSER_RQZSRPKAAWOWY30R,PACK_GROUP,Relationships,Session 24,2018-02-23 21:18:02,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,End of Day,End of Day,2018-02-25 03:01:17,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Recovery,Recovery,2018-02-26 03:17:28,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,End of Day,End of Day,2018-02-27 04:36:29,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Sleeping,Sleeping,2018-02-28 05:15:32,ANDROID
HSUSER_RQZSRPKAAWOWY30R,PACK_GROUP,Relationships,Session 25,2018-02-28 14:49:49,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Sleeping,Sleeping,2018-03-02 05:26:07,ANDROID
HSUSER_RQZSRPKAAWOWY30R,PACK_GROUP,Relationships,Session 26,2018-03-02 14:33:07,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Sleeping,Sleeping,2018-03-04 05:53:05,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Recovery,Recovery,2018-03-05 02:52:36,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Sleeping,Sleeping,2018-03-06 05:18:54,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Sleeping,Sleeping,2018-03-07 05:21:47,ANDROID
HSUSER_RQZSRPKAAWOWY30R,PACK_GROUP,Relationships,Session 27,2018-03-07 14:35:54,ANDROID
HSUSER_RQZSRPKAAWOWY30R,PACK_GROUP,Relationships,Session 28,2018-03-08 14:32:15,ANDROID
HSUSER_RQZSRPKAAWOWY30R,PACK_GROUP,Relationships,Session 29,2018-03-09 14:56:12,ANDROID
HSUSER_RQZSRPKAAWOWY30R,MINIS,Unwind,Unwind,2018-03-11 05:55:13,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Sleeping,Sleeping,2018-03-12 03:49:02,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Recovery,Recovery,2018-03-13 02:56:35,ANDROID
HSUSER_RQZSRPKAAWOWY30R,PACK_GROUP,Relationships,Session 30,2018-03-14 01:55:00,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Parks & Nature,Parks & Nature,2018-03-15 00:54:45,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,End of Day,End of Day,2018-03-16 03:36:41,ANDROID
HSUSER_RQZSRPKAAWOWY30R,PACK_GROUP,Distractions,Session 2,2018-03-16 13:35:27,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,In Your Home,In Your Home,2018-03-18 01:23:41,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,End of Day,End of Day,2018-03-18 01:28:58,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Recovery,Recovery,2018-03-18 21:34:14,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Sleeping,Sleeping,2018-03-20 04:34:55,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Presentations,Presentations,2018-03-20 13:34:46,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Presentations,Presentations,2018-03-21 14:02:17,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Sleeping,Sleeping,2018-03-23 04:08:54,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Motivation,Motivation,2018-03-23 12:58:05,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,End of Day,End of Day,2018-03-25 02:13:10,ANDROID
