zipcode,liberalism_index
01039,0.9817364708529978
01040,0.7517879097512279
01041,1
01045,1
01050,0.8930997080632005
01053,0.9485567980305861
01054,0.9813480038454565
01055,1
01056,0.5869532162921248
01057,0.6228627805728858
01059,0.9038257331535862
01060,0.9672161845102571
01061,0.9162628595998148
01062,0.8985549366869834
01063,1
01066,1
01068,0.7696966284905417
01069,0.5847613295326278
01070,1
01071,1
01072,0.9801586069927077
01073,0.8919328296881707
01075,0.7929571135102709
01077,0.5010024443925833
01078,0
01079,0.8589288750053126
01080,0.4245718747943442
01081,1
01082,0.5041743072534638
01083,0.5517712810347994
01084,1
01085,0.4337303046563752
01086,0.345880217435239
01088,1
01089,0.6151409057531209
01090,0.425
01092,1
01093,0.9719338801675095
01095,0.6264870345353575
01096,0.9242293383850058
01097,0
01098,0.9169679509942775
01101,0.43902806559598295
01102,0.4698275862068965
01103,0.8860061570898283
01104,0.7309605146622286
01105,0.923260673533798
01106,0.7599206235801585
01107,0.859961253654176
01108,0.7373282758095643
01109,0.7753675689766809
01110,1
01111,0.6077979482815675
01112,1
01115,0.4537257276304978
01116,0.5711382113821138
01118,0.8730852095914732
01119,0.8373185798620358
01128,0.5569912161481929
01129,0.6887356895977585
01130,1
01138,1
01140,1
01142,1
01144,0.5948972360028348
01151,0.8238470564379768
01170,1
01176,1
01180,1
01181,1
01190,0.7696827873114924
01199,1
01201,0.8324748544207412
01202,0.7474052020014059
01203,1
01204,1
01205,1
01206,1
01209,1
01210,1
01211,1
01212,1
01213,1
01216,1
01220,0.6156082854831924
01222,1
01223,1
01224,1
01225,0.886456476530006
01226,0.9570124883914678
01227,1
01229,1
01230,0.9070671337745184
01233,0
01235,0.8858172695328542
01236,0.9853393266690778
01237,0.728747819569888
01238,0.9861884589066886
01240,0.9072337953688339
01242,0.3746604029884537
01243,0.8464955138183485
01244,1
01245,0.6735528400079652
01247,0.8754474726454957
01248,1
01252,0
01253,1
01254,0.9717770434691307
01255,1
01256,1
01257,0.9742438828801578
01258,0.9106795154502882
01259,0.6995507796057302
01260,1
01262,0.7571381229384627
01264,0.9208597306560539
01266,0.9132286692757372
01267,0.9447075460664209
01269,1
01270,0.9209190117569709
01277,0.5830150936533915
01280,1
01282,0
01286,0
01290,1
01291,1
01293,1
01294,1
01295,1
01296,1
01300,1
01301,0.9216129948498201
01302,0.9731307439183696
01309,1
01315,0
01320,0
01321,1
01322,0
01330,0.9527627390473197
01331,0.6746325685246136
01337,0.9012907710600282
01338,1
01339,0.7475069833513484
01340,0.9291600212652844
01341,0.9609238324670146
01342,0.8326044730326847
01344,0.8407059510069675
01346,1
01347,1
01349,0.8940341107160288
01350,1
01351,0.9681682393420912
01354,0.9498746867167919
01355,1
01360,0.8383189192448322
01364,0.7297513718641752
01366,0.9808972582307753
01367,1
01368,0.8898825032908996
01370,0.882051965403915
01373,0.8468816422533336
01375,0.8411867177481372
01376,0.726379111908488
01378,1
01379,1
01410,1
01420,0.7083236475141139
01421,1
01430,0.8390161900457962
01431,0.43522987858334544
01432,0.6366317335299372
