"","firm_name","wikipedia"
"1836","SHFL ENTERTAINMENT","https://en.wikipedia.org/wiki/SHFL_Entertainment"
"1837","FRONTIER OIL","https://en.wikipedia.org/wiki/Frontier_Oil"
"1838","AMERIPATH INC",
"1839","FLIR SYSTEMS","https://en.wikipedia.org/wiki/FLIR_Systems"
"1840","DIANON SYSTEMS",
"1841","DUANE READE","https://en.wikipedia.org/wiki/Duane_Reade"
"1842","INTERSIL CORP","https://en.wikipedia.org/wiki/Intersil"
"1843","SERENA SOFTWARE","https://en.wikipedia.org/wiki/Serena_Software"
"1844","HAVERTY FURNITURE","https://en.wikipedia.org/wiki/Havertys"
"1845","ICU MEDICAL","https://en.wikipedia.org/wiki/ICU_Medical"
"1846","J JILL GROUP",
"1847","TALX CORP",
"1848","AMERUS GROUP CO",
"1849","SIMON PROPERTY GROUP","https://en.wikipedia.org/wiki/Simon_Property_Group"
"1850","ADVANCED MEDICAL OPTICS","https://en.wikipedia.org/wiki/Abbott_Medical_Optics"
"1851","JDA SOFTWARE GROUP","https://en.wikipedia.org/wiki/JDA_Software"
"1852","ENVISION HEALTHCARE","https://en.wikipedia.org/wiki/Envision_Healthcare"
"1853","ENGINEERED SUPPORT SYSTEMS",
"1854","MAVERICK TUBE",
"1855","KRISPY KREME DOUGHNUTS","https://en.wikipedia.org/wiki/Krispy_Kreme"
"1856","UNITED PARCEL SERVICE","https://en.wikipedia.org/wiki/United_Parcel_Service"
"1857","EBAY INC","https://en.wikipedia.org/wiki/EBay"
"1858","GOLDMAN SACHS GROUP","https://en.wikipedia.org/wiki/Goldman_Sachs"
"1859","PRUDENTIAL FINANCIAL","https://en.wikipedia.org/wiki/Prudential_Financial"
"1860","PRINCIPAL FINANCIAL GROUP","https://en.wikipedia.org/wiki/Principal_Financial_Group"
"1861","PETSMART INC","https://en.wikipedia.org/wiki/PetSmart"
"1862","TOWERS WATSON","https://en.wikipedia.org/wiki/Willis_Towers_Watson"
"1863","ANTHEM INC","https://en.wikipedia.org/wiki/Anthem_(company)"
"1864","GLENBOROUGH REALTY TRUST",
"1865","SICOR INC",
"1866","VARIAN INC","https://en.wikipedia.org/wiki/Varian,_Inc."
"1867","CAPITAL AUTOMOTIVE REIT",
"1868","MONSANTO CO","https://en.wikipedia.org/wiki/Monsanto"
"1869","WESTROCK CO","https://en.wikipedia.org/wiki/WestRock"
"1870","TRAVELERS COS","https://en.wikipedia.org/wiki/The_Travelers_Companies"
"1871","CHARLES RIVER LABS INTERNATIONAL",
"1872","CIMAREX ENERGY",
"1873","W-H ENERGY SERVICES",
"1874","IRWIN FINANCIAL",
"1875","AMERIGROUP CORP","https://en.wikipedia.org/wiki/Amerigroup"
"1876","PEABODY ENERGY",
"1877","CAREER EDUCATION","https://en.wikipedia.org/wiki/Career_Education_Corporation"
"1878","CARMAX INC","https://en.wikipedia.org/wiki/CarMax"
