"","V1"
"135",0.0823851767388452
"136",0.0959248828494834
"137",0.095769448114722
"138",0.0940227147246745
"139",0.0867251800629985
"140",0.0951262612630868
"141",0.0983217174198343
"142",0.0899341159037297
"143",0.0950274980822278
"144",0.0953342982659837
"145",0.106392110252463
"146",0.104193703234768
"147",0.0835788270928422
"148",0.0812870551451069
"149",0.0999510146128169
"150",0.101237354648315
"151",0.0769571061999352
"152",0.0933066406425047
"153",0.0997224214889731
"154",0.0977012513583404
"155",0.0910131376332692
"156",0.0818422040957898
"157",0.0867806481684439
"158",0.0923918091361518
"159",0.095987019119488
"160",0.0797373621360196
"161",0.0914209909401587
"162",0.0922230566699137
"163",0.0906680124474967
"164",0.0835358915470355
"165",0.0993325521620846
"166",0.101237695687383
"167",0.0952368855770902
"168",0.0950678704050895
"169",0.0930961830048263
"170",0.100448822847854
"171",0.0900336017778411
"172",0.100158821038801
"173",0.0971094827790433
"174",0.0887813497595245
"175",0.0949849070224763
"176",0.0682728270045627
"177",0.105877455722395
"178",0.0860804901373456
"179",0.0968179712353007
"180",0.102293352546708
"181",0.0881811341652146
"182",0.100411725844167
"183",0.0996735705960424
"184",0.0835219531781067
"185",0.0898900020717887
"186",0.0922284394606918
"187",0.0941596361161119
"188",0.0927571925318834
"189",0.0820754592221471
"190",0.0992468345323077
"191",0.0769789854586453
"192",0.0815855570956299
"193",0.0878357189653446
"194",0.0968996092695498
"195",0.0922865938368905
"196",0.0856953782499042
"197",0.095621010376946
"198",0.082490085356981
"199",0.0683530292277024
"200",0.0810034382131171
"201",0.10063749392046
"202",0.0831850201337161
"203",0.0625868019736725
"204",0.0788065052635603
"205",0.0971588858760889
"206",0.0862492657939754
"207",0.0910109860346059
"208",0.091525740145507
"209",0.0982527286189711
"210",0.0928210157020659
"211",0.0901751399296313
"212",0.0814704610449705
"213",0.0864547706314941
"214",0.110450559172544
"215",0.0874547686137075
"216",0.0787489536238046
"217",0.0949325694486791
"218",0.0777406530771971
"219",0.0794687593350081
"220",0.0804748679360968
"221",0.101276233944304
"222",0.116584680348321
"223",0.0998322203815143
"224",0.0928602683287982
"225",0.082569732077275
"226",0.0967801603196192
"227",0.0840294673584541
"228",0.102298994963022
"229",0.0967753658048597
"230",0.0976123359667586
"231",0.0960215566261716
"232",0.111899463267338
"233",0.104753819773319
"234",0.0895657572409513
"235",0.0788084665055201
"236",0.0954430404887579
"237",0.0848092858692068
"238",0.0822763724325674
"239",0.0860890298058903
"240",0.08482707696268
"241",0.115789399480569
"242",0.0839298014388289
"243",0.0927129760657488
"244",0.08831440982002
"245",0.100110243035416
"246",0.0831500914262999
"247",0.08862510991195
"248",0.072485745103696
"249",0.0870286373910481
"250",0.105492327398393
"251",0.0854287021106287
"252",0.0938048084241458
"253",0.0962699827511892
"254",0.0962413192869075
"255",0.0761856805008197
"256",0.0941121890968043
"257",0.0978283400568898
"258",0.0880001624440174
"259",0.089888209323425
"260",0.0820575193543593
"261",0.0688641361730093
"262",0.0932714781045041
"263",0.0895126408394992
"264",0.0958408744743991
"265",0.0838053165833437
"266",0.0918769374066568
"267",0.0992735629548597
"268",0.098126981567088
"269",0.0850783068480322
"270",0.0812991353617553
"271",0.0848377953771673
"272",0.0923912985738621
"273",0.0911036578284595
"274",0.0869116366565578
"275",0.0832266720172405
"276",0.0876941600062002
"277",0.0938127606675514
"278",0.0941079104383886
"279",0.0863399044535673
"280",0.0856812771141008
"281",0.0799909738683351
"282",0.0890234412192392
"283",0.0826073622920719
"284",0.0919557092719713
"285",0.0991121775699971
"286",0.104423034855217
"287",0.0962746610528572
"288",0.0942570399039661
"289",0.0946945699452769
"290",0.0987366765762375
"291",0.0942492481183693
"292",0.0929674952659306
"293",0.0818143646213987
"294",0.103750193635519
"295",0.103296330343358
"296",0.0849178152354706
"297",0.108477467491663
"298",0.093727183201836
"299",0.0841323437572452
"300",0.100131183781965
"301",0.0820981724759517
"302",0.10491216416856
"303",0.0827420794398522
"304",0.0871927540312738
"305",0.0840339737158261
"306",0.102758938348614
"307",0.0766173001297223
"308",0.0999323408148061
"309",0.104226952156735
"310",0.0914419737844353
"311",0.0893353212034968
"312",0.0910240709102137
"313",0.0993855833103244
"314",0.10014848506643
"315",0.0771555873510374
"316",0.0927843399710115
"317",0.0972769155198185
"318",0.0910494735568925
"319",0.113091055066364
"320",0.113138581279068
"321",0.0963383358330337
"322",0.0962298280677687
"323",0.0924669431514937
"324",0.0746314992247899
"325",0.0963736446598191
"326",0.0828994012022743
"327",0.100762059126908
"328",0.0999149468476153
"329",0.0998823142151641
"330",0.0872876841339187
"331",0.0907240031111208
"332",0.0940904330810055
"333",0.0909089730940499
"334",0.0964741024377152
"335",0.0873458022504458
"336",0.10068906008515
"337",0.104415518139832
"338",0.078701393094045
"339",0.0933813152082325
"340",0.0974755549292973
"341",0.0874282529355094
"342",0.0883445321203672
"343",0.0909116015454068
"344",0.0759831118682701
"345",0.0976345122380606
"346",0.104532007883494
"347",0.112700717248456
"348",0.102533404602838
"349",0.105935103706971
"350",0.0967971378317318
"351",0.0792619471979584
"352",0.0953087351583672
"353",0.0890476757253303
"354",0.0697383058479342
"355",0.0744473982895578
"356",0.0966142339702855
"357",0.0906848792835271
"358",0.0888003330776585
"359",0.097110236873647
"360",0.100879935961788
"361",0.0939076714802917
"362",0.0808687064061334
"363",0.0928071499037727
"364",0.0823578973721685
"365",0.0859437571818011
"366",0.101711638068207
"367",0.0906720813080657
"368",0.0901039232363051
"369",0.107553966989897
"370",0.0810194157541795
"371",0.0836492779783967
"372",0.0970003787320401
"373",0.104068558945814
"374",0.0853077974308828
"375",0.10314010986883
"376",0.0858663257035716
"377",0.0965389567075849
"378",0.09739215839152
"379",0.078417608216708
"380",0.0848056353514649
"381",0.108058248257706
"382",0.0987721217618361
"383",0.0891764048367318
"384",0.0799489972145712
"385",0.095799533499278
"386",0.100742960571045
"387",0.101162258737363
"388",0.0852271636683205
"389",0.107179918088539
"390",0.0949560136061369
"391",0.0951949966029313
"392",0.101734627209329
"393",0.0924237724785043
"394",0.0942471066551741
"395",0.0974689070853687
"396",0.073062528525904
"397",0.0844838769515343
"398",0.0956329219719445
"399",0.0941401495540239
"400",0.075703104633749
"401",0.0867828969024825
"402",0.0913524534116478
"403",0.0914854784945066
"404",0.0787249030376432
"405",0.082225096714365
"406",0.080389554356609
"407",0.0788351380009021
"408",0.0875069018810384
"409",0.0983089276047776
"410",0.0896651623918605
"411",0.0822403767701475
"412",0.097090794399892
"413",0.105023600844998
"414",0.0969778316109375
"415",0.0883885089020733
"416",0.08446109455145
"417",0.10105051852698
"418",0.0672130427691785
"419",0.106486824653819
"420",0.102802703514417
"421",0.0981086087931767
"422",0.0882176961365859
"423",0.0710511045408332
"424",0.104810917721064
"425",0.091343621851079
"426",0.103096201508369
"427",0.087148216592414
"428",0.0966880198508147
"429",0.0804139311371101
"430",0.100170355602622
"431",0.0878830278188805
"432",0.0964143621893381
"433",0.0885077547928389
"434",0.0765293576960832
"435",0.100126775476216
"436",0.0814505299698266
"437",0.0817300167599359
"438",0.0997248652827475
"439",0.0797563901657596
"440",0.0779777141950046
"441",0.125854999750224
"442",0.0956828773434679
"443",0.0868883475206189
"444",0.0895510228979757
"445",0.0873587767908159
"446",0.0949568362217692
"447",0.0963917631882854
"448",0.079464376633696
"449",0.0968457098872556
"450",0.0851726074387549
"451",0.0875896055939295
"452",0.108515374595328
"453",0.0903360424468738
"454",0.108542321993158
"455",0.0965037214356563
"456",0.0871965865274283
"457",0.0998973633162669
"458",0.101918878298829
"459",0.0902007244110986
"460",0.0802961022852472
"461",0.101527219247348
"462",0.0943163238085002
