"","Judges","% prison/jail sentences above median","% Class 4 felonies sentenced to prison/jail","Severity metric"
"72","Lauren Gottainer Edidin",0.366450683945284,0.502798507462687,0.434624595703985
"73","Thomas M Davy",0.394630192502533,0.473650385604113,0.434140289053323
"74","Timothy J Chambers",0.430510665804783,0.436947791164659,0.433729228484721
"75","John Joseph Hynes",0.371900826446281,0.494152046783626,0.433026436614953
"76","Allen F Murphy",0.412244897959184,0.450676982591876,0.43146094027553
"77","Michael  Kane",0.32258064516129,0.529745042492918,0.426162843827104
"78","Geraldine A D'Souza",0.369973190348525,0.48135593220339,0.425664561275958
"79","Thomas P Fecarotta",0.361553784860558,0.477428180574555,0.419490982717557
"80","Marc W Martin",0.399267399267399,0.423799582463466,0.411533490865432
"81","Rosemary Grant Higgins",0.416593115622242,0.398783666377063,0.407688390999653
"82","James L Rhodes",0.399416909620991,0.409420289855072,0.404418599738032
"83","Larry G Axelrood",0.348726114649682,0.444444444444444,0.396585279547063
"84","Kay M Hanlon",0.337308347529813,0.448405253283302,0.392856800406557
"85","Michael J Howlett",0.351535836177474,0.416342412451362,0.383939124314418
"86","Bridget Jane Hughes",0.310289389067524,0.439144736842105,0.374717062954815
"87","Carl B Boyd",0.328493647912886,0.415233415233415,0.37186353157315
"88","Joseph  Cataldo",0.325892857142857,0.359828141783029,0.342860499462943
"89","Darron Edward Bowden",0.370192307692308,0.308641975308642,0.339417141500475
"90","Thomas M Tucker",0.359528487229862,0.318181818181818,0.33885515270584
"91","Raymond  Myles",0.345413363533409,0.306415094339623,0.325914228936516
"92","Jill  Cerone-Marisie",0.31858407079646,0.244131455399061,0.281357763097761
