date	going_to	method	leave	bus_time	bus_number	leave_bus	arrive	duration	open_mbta_said	
3/15/2018	work	bus	9:53:00 AM	9:56:00 AM	64	10:06:00 AM	10:13:00 AM	0:20:00	9:55:00 AM	
3/19/2018	work	bus	9:12:00 AM	9:21:00 AM	64	9:38:00 AM		-9:12:00	9:18:00 AM	stopped after Portland stop went to MIT medical
3/20/2018	work	bus	9:49:00 AM	9:56:00 AM	64	10:08:00 AM	10:16:00 AM	0:27:00	9:56:00 AM	
3/21/2018	work	bus	10:15:00 AM	10:21:00 AM	64	10:32:00 AM	10:41:00 AM	0:26:00	10:19:00 AM	
3/22/2018	work	bus	8:27:00 AM	8:33:00 AM	66	8:44:00 AM	9:01:00 AM	0:34:00	8:32:00 AM	transit said 64 was in 5 min, open mbta said 8:52, not sure who was right; went to Koch not work
3/23/2018	work	bus	9:12:00 AM	9:27:00 AM	64	9:43:00 AM	9:47:00 AM	0:35:00	9:18:00 AM	
3/28/2018	work	bus	9:30:00 AM	9:37:00 AM	64	9:50:00 AM	9:58:00 AM	0:28:00	9:38:00 AM	transit said 9:36
3/29/2018	work	bus	10:01:00 AM	10:07:00 AM	64	10:24:00 AM	10:32:00 AM	0:31:00	10:05:00 AM	
3/30/2018	work	bus	8:28:00 AM	8:30:00 AM	64	8:46:00 AM	8:50:00 AM	0:22:00	8:31:00 AM	transit said 8:29
4/2/2018	work	bus	8:29:00 AM	8:37:00 AM	64	9:05:00 AM	9:07:00 AM	0:38:00	8:35:00 AM	
4/3/2018	work	bus	9:56:00 AM	10:01:00 AM	64	10:17:00 AM		-9:56:00	9:59:00 AM	
4/9/2018	work	bus	9:54:00 AM	9:59:00 AM	64	10:16:00 AM	10:25:00 AM	0:31:00	9:58:00 AM	
4/10/2018	work	bus	10:18:00 AM	10:22:00 AM	64	10:34:00 AM	10:42:00 AM	0:24:00	10:22:00 AM	
4/11/2018	work	bus	9:10:00 AM	9:26:00 AM	70	9:37:00 AM		-9:10:00	9:23:00 AM	tried to see if I could catch 64 with one min, then changed to the 70; stopped at area four
4/12/2018	work	bus	10:19:00 AM	10:21:00 AM	64	10:34:00 AM	10:43:00 AM	0:24:00	10:20:00 AM	
4/15/2018	work	bus	11:17:00 AM	11:31:00 AM	70	11:40:00 AM	11:51:00 AM	0:34:00	11:31:00 AM	
4/17/2018	work	bus	9:54:00 AM	9:57:00 AM	64	10:07:00 AM	10:15:00 AM	0:21:00	9:57:00 AM	
4/17/2018	home	bus	10:52:00 PM	11:10:00 PM	64	11:21:00 PM	11:22:00 PM	0:30:00	11:10:00 PM	
4/18/2018	work	bus	8:23:00 AM	8:29:00 AM	64	8:44:00 AM	8:48:00 AM	0:25:00	8:30:00 AM	
4/19/2018	work	bus	9:24:00 AM	9:28:00 AM	64	9:41:00 AM	9:49:00 AM	0:25:00	9:28:00 AM	transit said 9:40
4/20/2018	work	bus	8:44:00 AM	8:56:00 AM	64	9:17:00 AM	9:20:00 AM	0:36:00	8:50:00 AM	transit said 8:55
4/23/2018	work	bike	8:45:00 AM				9:01:00 AM	0:16:00		
4/24/2018	work	bike	8:35:00 AM				8:55:00 AM	0:20:00		went to gsc office
